"status","installedtime","executiontype","patchseverity","title","severity","executiontime","compliancetype","classification","id","documentversion","patchstate","patchbaselineid","documentname","patchgroup","executionid","resourceid","capturetime","schemaversion","accountid","region","resourcetype"
"COMPLIANT","","","","","UNSPECIFIED","2020-06-12T16:57:13Z","Association","","e5f07bdb-acac-495d-83d6-acc1bd5eba10","1","","","AWS-GatherSoftwareInventory","","","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:05Z","Command","Important","bind-export-libs.x86_64:32:9.11.4-9.P2.amzn2.0.3","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","bind-export-libs.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:46:59Z","Command","Important","bind-libs.x86_64:32:9.11.4-9.P2.amzn2.0.3","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","bind-libs.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:46:59Z","Command","Important","bind-libs-lite.x86_64:32:9.11.4-9.P2.amzn2.0.3","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","bind-libs-lite.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:46:23Z","Command","Important","bind-license.noarch:32:9.11.4-9.P2.amzn2.0.3","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","bind-license.noarch","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:35Z","Command","Important","bind-utils.x86_64:32:9.11.4-9.P2.amzn2.0.3","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","bind-utils.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:06Z","Command","Important","curl.x86_64:0:7.61.1-12.amzn2.0.1","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","curl.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:14Z","Command","Critical","dhclient.x86_64:12:4.2.5-77.amzn2.1.1","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","dhclient.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:14Z","Command","Critical","dhcp-common.x86_64:12:4.2.5-77.amzn2.1.1","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","dhcp-common.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:13Z","Command","Critical","dhcp-libs.x86_64:12:4.2.5-77.amzn2.1.1","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","dhcp-libs.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:46:24Z","Command","Important","filesystem.x86_64:0:3.2-25.amzn2.0.4","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","filesystem.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:07Z","Command","Important","gnupg2.x86_64:0:2.0.22-5.amzn2.0.4","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","gnupg2.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-06-10T17:57:28Z","Command","Important","kernel-tools.x86_64:0:4.14.181-140.257.amzn2","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","kernel-tools.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:06Z","Command","Important","libcurl.x86_64:0:7.61.1-12.amzn2.0.1","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","libcurl.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:38Z","Command","Important","libicu.x86_64:0:50.2-4.amzn2","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","libicu.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:46:45Z","Command","Important","libnghttp2.x86_64:0:1.39.2-1.amzn2","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","libnghttp2.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:05Z","Command","Important","libssh2.x86_64:0:1.4.3-12.amzn2.2.2","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","libssh2.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:16Z","Command","Important","microcode_ctl.x86_64:2:2.1-47.amzn2.0.6","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","microcode_ctl.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:06Z","Command","Important","nss.x86_64:0:3.44.0-7.amzn2","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","nss.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:06Z","Command","Important","nss-sysinit.x86_64:0:3.44.0-7.amzn2","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","nss-sysinit.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:06Z","Command","Important","nss-tools.x86_64:0:3.44.0-7.amzn2","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","nss-tools.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:46:58Z","Command","Important","openssl.x86_64:1:1.0.2k-19.amzn2.0.3","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","openssl.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:46:48Z","Command","Important","openssl-libs.x86_64:1:1.0.2k-19.amzn2.0.3","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","openssl-libs.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:46:33Z","Command","Important","perl.x86_64:4:5.16.3-294.amzn2","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","perl.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:46:32Z","Command","Important","perl-Pod-Escapes.noarch:1:1.04-294.amzn2","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","perl-Pod-Escapes.noarch","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:46:32Z","Command","Important","perl-libs.x86_64:4:5.16.3-294.amzn2","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","perl-libs.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:46:32Z","Command","Important","perl-macros.x86_64:4:5.16.3-294.amzn2","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","perl-macros.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:11Z","Command","Important","procps-ng.x86_64:0:3.3.10-26.amzn2","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","procps-ng.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:46:57Z","Command","Important","python.x86_64:0:2.7.16-5.amzn2","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","python.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:00Z","Command","Important","python-devel.x86_64:0:2.7.16-5.amzn2","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","python-devel.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:02Z","Command","Important","python-jinja2.noarch:0:2.7.2-3.amzn2","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","python-jinja2.noarch","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:46:57Z","Command","Important","python-libs.x86_64:0:2.7.16-5.amzn2","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","python-libs.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:02Z","Command","Important","python-pillow.x86_64:0:2.0.0-20.gitd1c6db8.amzn2.0.1","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","python-pillow.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:46:27Z","Command","Important","sqlite.x86_64:0:3.7.17-8.amzn2.1.1","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","sqlite.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:07Z","Command","Important","sudo.x86_64:0:1.8.23-4.amzn2.2","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","sudo.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:10Z","Command","Important","systemd.x86_64:0:219-57.amzn2.0.12","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","systemd.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:09Z","Command","Important","systemd-libs.x86_64:0:219-57.amzn2.0.12","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","systemd-libs.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
"COMPLIANT","2020-05-27T00:47:10Z","Command","Important","systemd-sysv.x86_64:0:219-57.amzn2.0.12","UNSPECIFIED","2020-06-10T18:16:05Z","Patch","Security","systemd-sysv.x86_64","","Installed","pb-0e930e75b392d70da","","","185b2e75-4ec6-41d9-9160-a364bb3be6bd","i-0fc594323eea74148","2020-06-12T16:57:18Z","1.0","307142784234","us-west-2","ManagedInstanceInventory"
